graph_size,algorithm,total_cost,operations_count,execution_time_ms
14,Prim,119,231,1
14,Kruskal,119,364,1
13,Prim,78,433,0
13,Kruskal,78,676,0
16,Prim,104,728,0
16,Kruskal,104,1156,0
22,Prim,146,1255,0
22,Kruskal,146,2036,0
24,Prim,189,1835,0
24,Kruskal,189,2996,1
128,Prim,732,4926,1
128,Kruskal,732,8116,1
163,Prim,1047,8863,0
163,Kruskal,1047,14636,2
143,Prim,965,12309,1
143,Kruskal,965,20356,0
179,Prim,1135,16626,0
179,Kruskal,1135,27516,1
208,Prim,1209,21646,0
208,Kruskal,1209,35836,1
28,Prim,170,22310,0
28,Kruskal,170,36956,0
214,Prim,1264,27502,1
214,Kruskal,1264,45516,1
220,Prim,1423,32830,1
220,Kruskal,1423,54316,1
124,Prim,803,35815,1
124,Kruskal,803,59276,1
211,Prim,1324,40925,1
211,Kruskal,1324,67716,1
689,Prim,4528,57547,2
689,Kruskal,4528,95276,4
465,Prim,2838,68785,1
465,Kruskal,2838,113876,3
346,Prim,2505,77167,0
346,Kruskal,2505,127716,2
799,Prim,5065,96501,1
799,Kruskal,5065,159676,3
874,Prim,5421,117643,1
874,Kruskal,5421,194636,3
582,Prim,3812,131713,0
582,Kruskal,3812,217916,2
607,Prim,3742,146403,0
607,Kruskal,3742,242196,2
678,Prim,4366,162777,1
678,Kruskal,4366,269316,2
671,Prim,4403,178983,1
671,Kruskal,4403,296156,3
186,Prim,1170,183493,0
186,Kruskal,1170,303596,2
2740,Prim,17892,249718,4
2740,Kruskal,17892,413196,8
2750,Prim,17922,316101,3
2750,Kruskal,17922,523196,6
1736,Prim,11126,358083,1
1736,Kruskal,11126,592636,4
1647,Prim,10636,397844,1
1647,Kruskal,10636,658516,4
2635,Prim,16737,461580,3
2635,Kruskal,16737,763916,6
